card-link--3ssYv href,heading--2eONR,details--1GUIn,premium-member--3Qd1D,price--3SnqI,updated-time--1DbCk
https://ikman.lk/en/ad/two-storied-house-for-sale-in-colombo-06-for-sale-colombo-19,Two Storied House For Sale In Colombo 06,Bedrooms: 5 | Bathrooms: 4,MEMBER,"Rs 260,000,000",33 minutes
https://ikman.lk/en/ad/luxury-architect-designed-house-for-sale-in-jayanthipura-battaramulla-for-sale-colombo,Luxury Architect Designed House for Sale in Jayanthipura Battaramulla,Bedrooms: 6 | Bathrooms: 7,,"Rs 450,000,000",
https://ikman.lk/en/ad/brand-new-house-sale-malabe-for-sale-colombo-84,Brand New House Sale Malabe,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 32,500,000",38 minutes
https://ikman.lk/en/ad/brand-new-house-for-sale-piliyandala-polgasowita-for-sale-colombo-3,BRAND NEW HOUSE FOR SALE PILIYANDALA POLGASOWITA,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 22,500,000",38 minutes
https://ikman.lk/en/ad/two-storied-house-for-sale-in-kohuwala-for-sale-colombo,Two Storied House For Sale In Kohuwala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 125,000,000",39 minutes
https://ikman.lk/en/ad/beautiful-brand-new-house-for-sale-in-piliyandala-for-sale-colombo-20,BEAUTIFUL BRAND NEW HOUSE FOR SALE IN PILIYANDALA,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 24,500,000",39 minutes
https://ikman.lk/en/ad/two-storied-house-for-sale-in-dehiwala-for-sale-colombo-75,Two Storied House For Sale In Dehiwala,Bedrooms: 4 | Bathrooms: 2,MEMBER,"Rs 53,000,000",43 minutes
https://ikman.lk/en/ad/thalawathugoda-new-house-for-sale-for-sale-colombo-1,thalawathugoda new house for sale,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 53,500,000",43 minutes
https://ikman.lk/en/ad/new-single-storey-quality-house-for-sale-in-piliyandala-for-sale-colombo,New Single Storey Quality House For Sale in Piliyandala,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 24,500,000",43 minutes
https://ikman.lk/en/ad/beautiful-brand-new-house-for-sale-in-piliyandala-for-sale-colombo-19,BEAUTIFUL BRAND NEW HOUSE FOR SALE IN PILIYANDALA,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 22,500,000",44 minutes
https://ikman.lk/en/ad/luxury-4-bedrooms-new-house-for-sale-in-piliyandala-kesbawa-for-sale-colombo,LUXURY 4 BEDROOMS NEW HOUSE FOR SALE IN PILIYANDALA KESBAWA,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 46,500,000",
https://ikman.lk/en/ad/house-for-sale-in-nawinna-maharagama-for-sale-colombo,"House for Sale in Nawinna, Maharagama",Bedrooms: 5 | Bathrooms: 3,,"Rs 140,000,000",
https://ikman.lk/en/ad/super-single-story-house-for-sale-nugegoda-for-sale-colombo-2,Super Single Story House for Sale Nugegoda,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 32,500,000",1 hour
https://ikman.lk/en/ad/hyilevl-paartt-300m-hoomaagm-goddgmin-addk-nimkl-demhl-nivs-km-13871-for-sale-colombo,හයිලෙවල් පාරට 300m හෝමාගම ගොඩගමින් අඩක් නිමකල දෙමහල් නිවස / KM 13871,Bedrooms: 2 | Bathrooms: 1,MEMBER,"Rs 9,500,000",1 hour
https://ikman.lk/en/ad/battaramulla-luxury-property-for-sale-for-sale-colombo-7,battaramulla luxury property for sale,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 160,000,000",1 hour
https://ikman.lk/en/ad/few-left-b-new-4-3br-house-for-sale-canterbury-golf-piliyandala-for-sale-colombo,FEW LEFT: B/New 4/3BR House For Sale Canterbury Golf Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 29,500,000",
https://ikman.lk/en/ad/all-facility-with-brand-new-house-in-malabe-for-sale-colombo-17,All Facility With Brand New House In Malabe,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 29,000,000",1 hour
https://ikman.lk/en/ad/house-for-sale-in-athurugiriya-for-sale-colombo-2804,House for Sale in Athurugiriya,Bedrooms: 4 | Bathrooms: 3,,"Rs 25,000,000",
https://ikman.lk/en/ad/house-for-sale-in-colombo-05-for-sale-colombo-514,House for Sale in Colombo 05,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 140,000,000",1 hour
https://ikman.lk/en/ad/house-for-sale-athurugiriya-for-sale-colombo-1301,House for Sale Athurugiriya,Bedrooms: 3 | Bathrooms: 2,,"Rs 22,500,000",
https://ikman.lk/en/ad/brand-new-3-bedrooms-house-for-sale-in-homagama-pitipana-for-sale-colombo-17,BRAND NEW 3 BEDROOMS HOUSE FOR SALE IN HOMAGAMA PITIPANA,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 16,500,000",1 hour
https://ikman.lk/en/ad/brand-new-4-bedrooms-house-for-sale-in-piliyandala-madapatha-road-for-sale-colombo-9,Brand new 4 Bedrooms House for sale in Piliyandala Madapatha Road,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 32,000,000",1 hour
https://ikman.lk/en/ad/10p-land-with-old-house-for-sale-in-boralla-for-sale-colombo-17,10p Land With Old House for Sale in Boralla,Bedrooms: 4 | Bathrooms: 4,MEMBER,"Rs 100,000,000",1 hour
https://ikman.lk/en/ad/thalawathugoda-city-luxury-house-for-sale-for-sale-colombo-1,thalawathugoda city luxury house for sale,Bedrooms: 9 | Bathrooms: 8,MEMBER,"Rs 200,000,000",1 hour
https://ikman.lk/en/ad/borlsgmuv-supiri-nivsk-vkinimtt-for-sale-colombo,බොරලස්ගමුව සුපිරි නිවසක් ව්කිනිමට,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 109,000,000",1 hour
https://ikman.lk/en/ad/beautiful-brand-new-house-for-sale-in-piliyandala-for-sale-colombo-18,BEAUTIFUL BRAND NEW HOUSE FOR SALE IN PILIYANDALA,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 23,500,000",1 hour
https://ikman.lk/en/ad/two-storey-house-for-sale-in-kottawa-for-sale-colombo-203,Two Storey House for Sale in Kottawa,Bedrooms: 4 | Bathrooms: 2,,"Rs 31,000,000",
https://ikman.lk/en/ad/95p-2-storied-newly-built-house-for-sale-in-dehiwala-for-sale-colombo,9.5P 2 Storied Newly Built House for Sale in Dehiwala,Bedrooms: 7 | Bathrooms: 5,,"Rs 95,000,000",
https://ikman.lk/en/ad/house-for-sale-at-kindelpitiya-for-sale-colombo,House for Sale at Kindelpitiya,Bedrooms: 3 | Bathrooms: 2,,"Rs 12,500,000",1 hour
https://ikman.lk/en/ad/brand-new-modern-single-story-house-for-sale-kasbawa-for-sale-colombo-10,Brand New Modern Single-Story House for Sale – Kasbawa,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 24,500,000",1 hour
https://ikman.lk/en/ad/homagama-godagama-near-highlevel-road-brand-new-house-for-sale-for-sale-colombo,Homagama - Godagama near highlevel road brand new house for sale .,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 17,500,000",
https://ikman.lk/en/ad/525p-3-storied-unit-house-for-sale-in-wellawatte-for-sale-colombo,5.25P 3 Storied Unit House for Sale in Wellawatte,Bedrooms: 8 | Bathrooms: 5,,"Rs 100,000,000",
https://ikman.lk/en/ad/house-for-sale-in-pita-kotte-for-sale-colombo-192,House for Sale in Pita Kotte,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 40,000,000",1 hour
https://ikman.lk/en/ad/brand-new-house-for-sale-in-battaramulla-for-sale-colombo-739,brand new house for sale in Battaramulla,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 29,000,000",1 hour
https://ikman.lk/en/ad/3-story-house-for-sale-in-moratuwa-ch1766-for-sale-colombo-6,3 Story House For Sale In Moratuwa - CH1766,Bedrooms: 6 | Bathrooms: 4,MEMBER,"Rs 75,000,000",1 hour
https://ikman.lk/en/ad/house-for-sale-in-colombo-05-for-sale-colombo-513,House For Sale in Colombo 05,Bedrooms: 9 | Bathrooms: 9,MEMBER,"Rs 300,000,000",1 hour
https://ikman.lk/en/ad/luxury-house-for-sale-in-pelawatta-for-sale-colombo-63,Luxury House for Sale in Pelawatta,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 69,500,000",1 hour
https://ikman.lk/en/ad/brand-new-house-for-sale-in-battaramulla-for-sale-colombo-730,brand new house for sale in battaramulla,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 29,500,000",1 hour
https://ikman.lk/en/ad/20-p-super-luxury-house-for-sale-in-pitakotte-for-sale-colombo,20 P super luxury house for sale in pitakotte,Bedrooms: 5 | Bathrooms: 5,MEMBER,"Rs 220,000,000",1 hour
https://ikman.lk/en/ad/165-p-2-storied-house-for-sale-in-dehiwala-close-to-galle-road-for-sale-colombo,16.5 P 2 STORIED HOUSE FOR SALE IN DEHIWALA CLOSE TO GALLE ROAD,Bedrooms: 3 | Bathrooms: 2,,"Rs 85,000,000",1 hour
https://ikman.lk/en/ad/97-perch-brand-new-6br-3-storey-house-for-sale-in-polgasowita-for-sale-colombo,9.7 Perch Brand-New 6BR 3-Storey House for Sale in Polgasowita,Bedrooms: 6 | Bathrooms: 5,MEMBER,"Rs 85,000,000",
https://ikman.lk/en/ad/architect-designed-3br-house-for-sale-in-kohuwala-hs4766-for-sale-colombo,Architect-Designed 3BR House for Sale in Kohuwala (HS4766),Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 125,000,000",
https://ikman.lk/en/ad/85-p-2-storied-architect-design-luxury-house-for-sale-in-dehiwala-for-sale-colombo-2,8.5 P 2 STORIED ARCHITECT DESIGN LUXURY HOUSE FOR SALE IN DEHIWALA,Bedrooms: 5 | Bathrooms: 4,,"Rs 95,000,000",1 hour
https://ikman.lk/en/ad/2316-p-colonial-type-2-units-house-for-sale-in-nugegoda-for-sale-colombo,23.16 P COLONIAL TYPE 2 UNITS HOUSE FOR SALE IN NUGEGODA,Bedrooms: 6 | Bathrooms: 4,,"Rs 162,500,000",1 hour
https://ikman.lk/en/ad/3-bedrooms-new-house-for-sale-in-homagama-godagama-for-sale-colombo-6,3 BEDROOMS NEW HOUSE FOR SALE IN HOMAGAMA GODAGAMA,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 19,500,000",
https://ikman.lk/en/ad/two-storey-4-bedrooms-house-for-sale-in-piliyandala-kesbawa-for-sale-colombo-8,Two Storey 4 Bedrooms House for Sale in Piliyandala Kesbawa,Bedrooms: 4 | Bathrooms: 2,MEMBER,"Rs 34,500,000",2 hours
https://ikman.lk/en/ad/dh1169-brand-new-modern-luxury-house-for-sale-in-kottawa-for-sale-colombo-15,(DH1169) Brand New Modern Luxury House for Sale in Kottawa,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 39,000,000",2 hours
https://ikman.lk/en/ad/ph726-luxury-three-storey-house-for-sale-in-thalapathpitiya-for-sale-colombo-81,(PH726) Luxury Three Storey House for Sale in Thalapathpitiya,Bedrooms: 4 | Bathrooms: 5,MEMBER,"Rs 115,000,000",2 hours
